Filename: C:\Program Files\Exelis\ENVI51\classic\data\can_tmr.img
Dims: Full Scene (256,000 points)

Basic Stats	  Min	  Max	     Mean	    Stdev
           	   18	  13155	  71168	  5.1387	 27.8000
           	   19	      0	  71168	  0.0000	 27.8000
           	   20	  15963	  87131	  6.2355	 34.0355
           	   21	  19845	 106976	  7.7520	 41.7875
           	   22	  21000	 127976	  8.2031	 49.9906
           	   23	      0	 127976	  0.0000	 49.9906
           	   24	  18945	 146921	  7.4004	 57.3910
           	   25	  17384	 164305	  6.7906	 64.1816
           	   26	      0	 164305	  0.0000	 64.1816
           	   27	  16794	 181099	  6.5602	 70.7418
           	   28	  13304	 194403	  5.1969	 75.9387
           	   29	  11258	 205661	  4.3977	 80.3363
           	   30	      0	 205661	  0.0000	 80.3363
           	   31	  10462	 216123	  4.0867	 84.4230
           	   32	   9296	 225419	  3.6312	 88.0543
           	   33	   7658	 233077	  2.9914	 91.0457
           	   34	      0	 233077	  0.0000	 91.0457
           	   35	   5257	 238334	  2.0535	 93.0992
           	   36	   3834	 242168	  1.4977	 94.5969
           	   37	   2449	 244617	  0.9566	 95.5535
           	   38	      0	 244617	  0.0000	 95.5535
           	   39	   1855	 246472	  0.7246	 96.2781
           	   40	   1346	 247818	  0.5258	 96.8039
           	   41	   1256	 249074	  0.4906	 97.2945
           	   42	      0	 249074	  0.0000	 97.2945
           	   43	   1088	 250162	  0.4250	 97.7195
           	   44	   1025	 251187	  0.4004	 98.1199
           	   45	    916	 252103	  0.3578	 98.4777
           	   46	      0	 252103	  0.0000	 98.4777
           	   47	    801	 252904	  0.3129	 98.7906
           	   48	    721	 253625	  0.2816	 99.0723
           	   49	    570	 254195	  0.2227	 99.2949
           	   50	      0	 254195	  0.0000	 99.2949
           	   51	    446	 254641	  0.1742	 99.4691
           	   52	    378	 255019	  0.1477	 99.6168
           	   53	      0	 255019	  0.0000	 99.6168
           	   54	    253	 255272	  0.0988	 99.7156
           	   55	    215	 255487	  0.0840	 99.7996
           	   56	    149	 255636	  0.0582	 99.8578
           	   57	      0	 255636	  0.0000	 99.8578
           	   58	    103	 255739	  0.0402	 99.8980
           	   59	     77	 255816	  0.0301	 99.9281
           	   60	     41	 255857	  0.0160	 99.9441
           	   61	      0	 255857	  0.0000	 99.9441
           	   62	     35	 255892	  0.0137	 99.9578
           	   63	     19	 255911	  0.0074	 99.9652
           	   64	     11	 255922	  0.0043	 99.9695
           	   65	      0	 255922	  0.0000	 99.9695
           	   66	     11	 255933	  0.0043	 99.9738
           	   67	      7	 255940	  0.0027	 99.9766
           	   68	     10	 255950	  0.0039	 99.9805
           	   69	      0	 255950	  0.0000	 99.9805
           	   70	      5	 255955	  0.0020	 99.9824
           	   71	      6	 255961	  0.0023	 99.9848
           	   72	      8	 255969	  0.0031	 99.9879
           	   73	      0	 255969	  0.0000	 99.9879
           	   74	      7	 255976	  0.0027	 99.9906
           	   75	      5	 255981	  0.0020	 99.9926
           	   76	      3	 255984	  0.0012	 99.9938
           	   77	      0	 255984	  0.0000	 99.9938
           	   78	      2	 255986	  0.0008	 99.9945
           	   79	      1	 255987	  0.0004	 99.9949
           	   80	      0	 255987	  0.0000	 99.9949
           	   81	      1	 255988	  0.0004	 99.9953
           	   82	      4	 255992	  0.0016	 99.9969
           	   83	      0	 255992	  0.0000	 99.9969
           	   84	      0	 255992	  0.0000	 99.9969
           	   85	      1	 255993	  0.0004	 99.9973
           	   86	      2	 255995	  0.0008	 99.9980
           	   87	      1	 255996	  0.0004	 99.9984
           	   88	      0	 255996	  0.0000	 99.9984
           	   89	      1	 255997	  0.0004	 99.9988
           	   90	      0	 255997	  0.0000	 99.9988
           	   91	      1	 255998	  0.0004	 99.9992
           	   92	      0	 255998	  0.0000	 99.9992
           	   93	      0	 255998	  0.0000	 99.9992
           	   94	      0	 255998	  0.0000	 99.9992
           	   95	      1	 255999	  0.0004	 99.9996
           	   96	      0	 255999	  0.0000	 99.9996
           	   97	      0	 255999	  0.0000	 99.9996
           	   98	      0	 255999	  0.0000	 99.9996
           	   99	      0	 255999	  0.0000	 99.9996
           	  100	      1	 256000	  0.0004	100.0000

Histogram  	   DN	   Npts	  Total	 Percent	 Acc Pct
Band 3     	    0	      2	      2	  0.0008	  0.0008
           	    1	      5	      7	  0.0020	  0.0027
           	    2	     79	     86	  0.0309	  0.0336
           	    3	    604	    690	  0.2359	  0.2695
           	    4	   2116	   2806	  0.8266	  1.0961
           	    5	   1670	   4476	  0.6523	  1.7484
           	    6	   1570	   6046	  0.6133	  2.3617
           	    7	   1911	   7957	  0.7465	  3.1082
           	    8	   2438	  10395	  0.9523	  4.0605
           	    9	   2700	  13095	  1.0547	  5.1152
           	   10	   2858	  15953	  1.1164	  6.2316
           	   11	   3231	  19184	  1.2621	  7.4938
           	   12	   3787	  22971	  1.4793	  8.9730
           	   13	   3883	  26854	  1.5168	 10.4898
           	   14	   4394	  31248	  1.7164	 12.2063
           	   15	   4828	  36076	  1.8859	 14.0922
           	   16	   6052	  42128	  2.3641	 16.4563
           	   17	   7301	  49429	  2.8520	 19.3082
           	   18	   8311	  57740	  3.2465	 22.5547
           	   19	   8720	  66460	  3.4063	 25.9609
           	   20	      0	  66460	  0.0000	 25.9609
           	   21	  10306	  76766	  4.0258	 29.9867
           	   22	  10254	  87020	  4.0055	 33.9922
           	   23	   9956	  96976	  3.8891	 37.8813
           	   24	  10640	 107616	  4.1563	 42.0375
           	   25	  11827	 119443	  4.6199	 46.6574
